Car Company,Car Model,Style Name,Year,Mileage,Transmission Type,Engine,Fuel Type,Body Type,Price,Link
Toyota,Mirai,Sedan,2017,102901,Automatic,L - Hydrogen,Hydrogen,Sedan,9955.0,https://www.truecar.com/used-cars-for-sale/listing/JTDBVRBDXHA001113
Chrysler,200,Limited FWD,2015,128957,Automatic,2.4L Inline-4 Gas,Gas,Sedan,7690.0,https://www.truecar.com/used-cars-for-sale/listing/1C3CCCAB2FN602548
Ford,F-150,XLT SuperCrew 5.5' Box 4WD,2020,31067,Automatic,2.7L V-6 Gas Turbocharged,Gas,Pickup Truck,35971.0,https://www.truecar.com/used-cars-for-sale/listing/1FTEW1EP7LFA30162
Ford,F-150,XLT SuperCab 6.5' Box 4WD,2019,121404,Automatic,3.3L V-6 Gas,Gas,Pickup Truck,20990.0,https://www.truecar.com/used-cars-for-sale/listing/1FTEX1EB4KKD53415
Nissan,Sentra,SV CVT,2019,70121,Automatic,1.8L Inline-4 Gas,Gas,Sedan,11000.0,https://www.truecar.com/used-cars-for-sale/listing/3N1AB7AP5KY359584
Ford,Explorer,XLT 4WD,2020,42292,Automatic,2.3L Inline-4 Gas Turbocharged,Gas,SUV,27550.0,https://www.truecar.com/used-cars-for-sale/listing/1FMSK8DH1LGA87609
Nissan,Sentra,SV CVT,2019,54836,Automatic,1.8L Inline-4 Gas,Gas,Sedan,14991.0,https://www.truecar.com/used-cars-for-sale/listing/3N1AB7AP5KY403275
Nissan,Sentra,SV CVT,2019,72178,Automatic,1.8L Inline-4 Gas,Gas,Sedan,13950.0,https://www.truecar.com/used-cars-for-sale/listing/3N1AB7AP6KY322737
Honda,Civic,EX Sedan Automatic,2012,175758,Automatic,1.8L Inline-4 Gas,Gas,Sedan,6833.0,https://www.truecar.com/used-cars-for-sale/listing/19XFB2F80CE092963
Chevrolet,Equinox,LT with 1LT FWD,2018,2042,Automatic,1.5L Inline-4 Gas Turbocharged,Gas,SUV,17777.0,https://www.truecar.com/used-cars-for-sale/listing/2GNAXJEV3J6333495
GMC,Terrain,SLE FWD,2020,83471,Automatic,1.5L Inline-4 Gas Turbocharged,Gas,SUV,16900.0,https://www.truecar.com/used-cars-for-sale/listing/3GKALMEV3LL116540
Jeep,Wrangler,Unlimited Sport,2017,98031,Automatic,3.6L V-6 Gas,Gas,SUV,22500.0,https://www.truecar.com/used-cars-for-sale/listing/1C4BJWDG0HL529233
Chevrolet,Cruze,LT with 1LT Automatic,2014,148940,Automatic,1.4L Inline-4 Gas Turbocharged,Gas,Sedan,4899.0,https://www.truecar.com/used-cars-for-sale/listing/1G1PC5SB8E7112246
Ford,F-150,XLT SuperCrew 5.5' Box 4WD,2019,54328,Automatic,3.5L V-6 Gas Turbocharged,Gas,Pickup Truck,31590.0,https://www.truecar.com/used-cars-for-sale/listing/1FTEW1E46KKD39438
Kia,Optima,LX Automatic,2020,29930,Automatic,2.4L Inline-4 Gas,Gas,Sedan,18988.0,https://www.truecar.com/used-cars-for-sale/listing/5XXGT4L37LG401504
Toyota,Camry,LE I4 Automatic,2018,88540,Automatic,2.5L Inline-4 Gas,Gas,Sedan,15998.0,https://www.truecar.com/used-cars-for-sale/listing/4T1B11HK3JU610658
Nissan,Altima,2.5 S,2015,98284,Automatic,2.5L Inline-4 Gas,Gas,Sedan,8990.0,https://www.truecar.com/used-cars-for-sale/listing/1N4AL3AP8FN325389
Ford,F-150,XLT SuperCrew 5.5' Box 4WD,2020,67930,Automatic,3.5L V-6 Gas Turbocharged,Gas,Pickup Truck,30500.0,https://www.truecar.com/used-cars-for-sale/listing/1FTEW1E42LFA63611
Hyundai,Elantra,SEL 2.0L IVT,2020,69714,Automatic,2.0L Inline-4 Gas,Gas,Sedan,16799.0,https://www.truecar.com/used-cars-for-sale/listing/5NPD84LF6LH556743
Ram,1500 Classic,"Tradesman Quad Cab 6'4"" Box 4WD",2019,130684,Automatic,3.6L V-6 Gas,Gas,Pickup Truck,16999.0,https://www.truecar.com/used-cars-for-sale/listing/1C6RR7FG9KS626297
Ford,F-150,XLT SuperCrew 5.5' Box 4WD,2018,116093,Automatic,3.5L V-6 Gas Turbocharged,Gas,Pickup Truck,23700.0,https://www.truecar.com/used-cars-for-sale/listing/1FTEW1EG3JKE17697
Hyundai,Elantra,SEL 2.0L IVT,2020,60528,Automatic,2.0L Inline-4 Gas,Gas,Sedan,14998.0,https://www.truecar.com/used-cars-for-sale/listing/5NPD84LF1LH559078
Jeep,Cherokee,Limited FWD,2019,26513,Automatic,2.4L Inline-4 Gas,Gas,SUV,17498.0,https://www.truecar.com/used-cars-for-sale/listing/1C4PJLDB6KD455679
Toyota,Corolla,LE CVT,2020,48985,Automatic,1.8L Inline-4 Gas,Gas,Sedan,18797.0,https://www.truecar.com/used-cars-for-sale/listing/5YFEPRAE7LP115916
Chevrolet,Equinox,LT with 2FL AWD,2020,169498,Automatic,1.5L Inline-4 Gas Turbocharged,Gas,SUV,13995.0,https://www.truecar.com/used-cars-for-sale/listing/2GNAXTEV3L6193172
Chevrolet,Malibu,LT,2020,63525,Automatic,1.5L Inline-4 Gas Turbocharged,Gas,Sedan,16980.0,https://www.truecar.com/used-cars-for-sale/listing/1G1ZD5ST9LF036974
Chrysler,200,Limited FWD,2015,99743,Automatic,2.4L Inline-4 Gas,Gas,Sedan,9776.0,https://www.truecar.com/used-cars-for-sale/listing/1C3CCCAB3FN651922
Ford,Explorer,XLT FWD,2018,43157,Automatic,3.5L V-6 Gas,Gas,SUV,20500.0,https://www.truecar.com/used-cars-for-sale/listing/1FM5K7D81JGA81099
Ford,F-150,XLT SuperCrew 5.5' Box 4WD,2017,132159,Automatic,3.5L V-6 Gas Turbocharged,Gas,Pickup Truck,20724.0,https://www.truecar.com/used-cars-for-sale/listing/1FTEW1EG7HFA36423
Nissan,Sentra,SV CVT,2019,55367,Automatic,1.8L Inline-4 Gas,Gas,Sedan,12997.0,https://www.truecar.com/used-cars-for-sale/listing/3N1AB7AP4KL608941
